State,Cause Name,Year,Deaths,Age-adjusted Death Rate
Louisiana,All causes,2017,45804,881.1
Maine,All causes,2017,14676,771.6
Maryland,All causes,2017,49926,718.1
Massachusetts,All causes,2017,58803,677.1
Michigan,All causes,2017,97602,783.5
Minnesota,All causes,2017,44371,656.4
Mississippi,All causes,2017,32280,951.3
Missouri,All causes,2017,61876,820.1
Montana,All causes,2017,10200,757.5
Nebraska,All causes,2017,16878,726.0
Nevada,All causes,2017,24657,765.5
New Hampshire,All causes,2017,12504,717.3
New Jersey,All causes,2017,74846,667.5
New Mexico,All causes,2017,18673,754.7
New York,All causes,2017,155358,623.6
North Carolina,All causes,2017,93157,785.6
North Dakota,All causes,2017,6415,692.7
Ohio,All causes,2017,123648,849.7
Oklahoma,All causes,2017,40452,902.4
Oregon,All causes,2017,36624,717.2
Pennsylvania,All causes,2017,135656,777.3
Rhode Island,All causes,2017,10157,713.4
South Carolina,All causes,2017,49441,828.0
South Dakota,All causes,2017,7996,736.6
Tennessee,All causes,2017,70096,897.1
Texas,All causes,2017,198106,735.7
Utah,All causes,2017,18035,700.1
Vermont,All causes,2017,6007,714.9
Virginia,All causes,2017,68579,719.4
Washington,All causes,2017,56995,688.6
West Virginia,All causes,2017,23276,957.1
Wisconsin,All causes,2017,52681,722.0
Wyoming,All causes,2017,4768,714.6
United States,Alzheimer's disease,2017,121404,31.0
Alabama,Alzheimer's disease,2017,2563,45.2
Alaska,Alzheimer's disease,2017,98,22.1
Arizona,Alzheimer's disease,2017,3058,35.1
Arkansas,Alzheimer's disease,2017,1436,39.4
California,Alzheimer's disease,2017,16238,37.1
Colorado,Alzheimer's disease,2017,1830,34.2
Connecticut,Alzheimer's disease,2017,1077,20.4
Delaware,Alzheimer's disease,2017,377,30.6
District of Columbia,Alzheimer's disease,2017,125,17.6
Florida,Alzheimer's disease,2017,6980,20.7
Georgia,Alzheimer's disease,2017,4290,46.0
Hawaii,Alzheimer's disease,2017,465,19.7
Idaho,Alzheimer's disease,2017,672,36.6
Illinois,Alzheimer's disease,2017,4021,25.6
Indiana,Alzheimer's disease,2017,2771,35.3
Iowa,Alzheimer's disease,2017,1597,35.3
Kansas,Alzheimer's disease,2017,894,24.3
Kentucky,Alzheimer's disease,2017,1765,35.0
Louisiana,Alzheimer's disease,2017,2188,43.7
Maine,Alzheimer's disease,2017,601,30.4
Maryland,Alzheimer's disease,2017,1191,17.1
Massachusetts,Alzheimer's disease,2017,1841,19.9
Michigan,Alzheimer's disease,2017,4428,34.5
Minnesota,Alzheimer's disease,2017,2474,34.9
Mississippi,Alzheimer's disease,2017,1626,49.6
Missouri,Alzheimer's disease,2017,2545,32.3
Montana,Alzheimer's disease,2017,285,20.9
Nebraska,Alzheimer's disease,2017,698,28.5
Nevada,Alzheimer's disease,2017,779,27.3
New Hampshire,Alzheimer's disease,2017,436,24.8
New Jersey,Alzheimer's disease,2017,2829,23.6
New Mexico,Alzheimer's disease,2017,572,22.7
New York,Alzheimer's disease,2017,3521,13.2
North Carolina,Alzheimer's disease,2017,4289,37.3
North Dakota,Alzheimer's disease,2017,387,36.5
Ohio,Alzheimer's disease,2017,5117,33.6
Oklahoma,Alzheimer's disease,2017,1752,39.4
Oregon,Alzheimer's disease,2017,1850,36.0
Pennsylvania,Alzheimer's disease,2017,4213,21.7
Rhode Island,Alzheimer's disease,2017,435,27.3
South Carolina,Alzheimer's disease,2017,2549,45.0
South Dakota,Alzheimer's disease,2017,444,36.9
Tennessee,Alzheimer's disease,2017,3522,46.7
Texas,Alzheimer's disease,2017,9545,38.5
Utah,Alzheimer's disease,2017,991,42.1
Vermont,Alzheimer's disease,2017,370,42.9
Virginia,Alzheimer's disease,2017,2549,27.6
Washington,Alzheimer's disease,2017,3710,46.0
West Virginia,Alzheimer's disease,2017,770,30.6
Wisconsin,Alzheimer's disease,2017,2428,31.6
Wyoming,Alzheimer's disease,2017,212,32.7
United States,Stroke,2017,146383,37.6
Alabama,Stroke,2017,2931,50.0
Alaska,Stroke,2017,190,35.1
Arizona,Stroke,2017,2681,30.8
Arkansas,Stroke,2017,1612,43.8
California,Stroke,2017,16355,37.6
Colorado,Stroke,2017,1988,35.8
Connecticut,Stroke,2017,1403,27.8
Delaware,Stroke,2017,571,46.2
District of Columbia,Stroke,2017,246,35.9
Florida,Stroke,2017,12602,38.9
Georgia,Stroke,2017,4399,43.5
Hawaii,Stroke,2017,764,37.5
Idaho,Stroke,2017,726,38.5
Illinois,Stroke,2017,6020,38.9
Indiana,Stroke,2017,3150,40.2
Iowa,Stroke,2017,1416,32.8
Kansas,Stroke,2017,1355,37.7
Kentucky,Stroke,2017,2050,39.4
Louisiana,Stroke,2017,2460,47.4
Maine,Stroke,2017,736,37.5
Maryland,Stroke,2017,2820,40.2
Massachusetts,Stroke,2017,2367,26.5
Michigan,Stroke,2017,5002,39.3
Minnesota,Stroke,2017,2250,32.6
Mississippi,Stroke,2017,1723,51.1
Missouri,Stroke,2017,3159,41.0
Montana,Stroke,2017,487,35.6
Nebraska,Stroke,2017,760,31.5
Nevada,Stroke,2017,1137,35.9
New Hampshire,Stroke,2017,514,28.9
New Jersey,Stroke,2017,3474,30.2
New Mexico,Stroke,2017,878,34.8
New York,Stroke,2017,6264,24.6
North Carolina,Stroke,2017,5098,43.0
North Dakota,Stroke,2017,337,35.4
Ohio,Stroke,2017,6425,42.8
Oklahoma,Stroke,2017,1947,43.3
Oregon,Stroke,2017,2066,39.9
Pennsylvania,Stroke,2017,6700,36.5
Rhode Island,Stroke,2017,425,29.4
South Carolina,Stroke,2017,2691,44.9
South Dakota,Stroke,2017,414,36.7
Tennessee,Stroke,2017,3519,45.0
Texas,Stroke,2017,10790,41.3
Utah,Stroke,2017,888,36.2
Vermont,Stroke,2017,249,28.9
Virginia,Stroke,2017,3555,37.5
Washington,Stroke,2017,3028,36.9
West Virginia,Stroke,2017,1058,41.8
Wisconsin,Stroke,2017,2513,33.5
Wyoming,Stroke,2017,190,28.4
United States,CLRD,2017,160201,40.9
Alabama,CLRD,2017,3484,57.8
Alaska,CLRD,2017,204,35.9
Arizona,CLRD,2017,3802,42.7
Arkansas,CLRD,2017,2517,66.7
California,CLRD,2017,13881,32.2
Colorado,CLRD,2017,2604,45.6
Connecticut,CLRD,2017,1471,30.4
Delaware,CLRD,2017,526,40.8
District of Columbia,CLRD,2017,137,19.6
Florida,CLRD,2017,12619,39.0
Georgia,CLRD,2017,4866,46.2
Hawaii,CLRD,2017,378,19.0
Idaho,CLRD,2017,925,47.3
Illinois,CLRD,2017,5732,37.6
Indiana,CLRD,2017,4375,55.2
Iowa,CLRD,2017,1939,46.5
Kansas,CLRD,2017,1832,51.7
Kentucky,CLRD,2017,3480,64.5
Louisiana,CLRD,2017,2467,46.6
Maine,CLRD,2017,982,48.7
Maryland,CLRD,2017,2079,29.9
Massachusetts,CLRD,2017,2842,32.5
Michigan,CLRD,2017,5688,44.3
Minnesota,CLRD,2017,2464,36.3
Mississippi,CLRD,2017,2037,58.3
Missouri,CLRD,2017,3940,50.7
Montana,CLRD,2017,752,53.5
Nebraska,CLRD,2017,1224,52.6
Nevada,CLRD,2017,1633,50.0
New Hampshire,CLRD,2017,755,43.0
New Jersey,CLRD,2017,3227,28.6
New Mexico,CLRD,2017,1143,44.2
New York,CLRD,2017,7258,28.9
North Carolina,CLRD,2017,5540,45.3
North Dakota,CLRD,2017,358,38.3
Ohio,CLRD,2017,7312,48.5
Oklahoma,CLRD,2017,3035,65.9
Oregon,CLRD,2017,2088,39.7
Pennsylvania,CLRD,2017,6667,37.1
Rhode Island,CLRD,2017,521,36.2
South Carolina,CLRD,2017,2983,47.9
South Dakota,CLRD,2017,505,45.3
Tennessee,CLRD,2017,4657,57.4
Texas,CLRD,2017,10650,40.5
Utah,CLRD,2017,826,32.1
Vermont,CLRD,2017,375,43.0
Virginia,CLRD,2017,3363,34.9
Washington,CLRD,2017,3177,38.1
West Virginia,CLRD,2017,1681,64.3
Wisconsin,CLRD,2017,2834,38.3
Wyoming,CLRD,2017,366,53.8
United States,Diabetes,2017,83564,21.5
Alabama,Diabetes,2017,1173,19.8
Alaska,Diabetes,2017,130,19.3
Arizona,Diabetes,2017,2054,23.7
Arkansas,Diabetes,2017,1180,32.4
California,Diabetes,2017,9595,22.1
Colorado,Diabetes,2017,1017,17.2
Connecticut,Diabetes,2017,694,14.5
Delaware,Diabetes,2017,244,19.1
District of Columbia,Diabetes,2017,138,20.1
Florida,Diabetes,2017,6172,20.2
Georgia,Diabetes,2017,2348,21.5
Hawaii,Diabetes,2017,299,15.9
Idaho,Diabetes,2017,394,20.3
Illinois,Diabetes,2017,2927,19.2
Indiana,Diabetes,2017,2096,26.6
Iowa,Diabetes,2017,918,22.8
Kansas,Diabetes,2017,874,25.2
Kentucky,Diabetes,2017,1474,27.7
Louisiana,Diabetes,2017,1272,23.9
Maine,Diabetes,2017,395,19.8
Maryland,Diabetes,2017,1439,20.3
Massachusetts,Diabetes,2017,1321,15.1
Michigan,Diabetes,2017,2798,22.1
Minnesota,Diabetes,2017,1312,19.3
Mississippi,Diabetes,2017,1164,33.3
Missouri,Diabetes,2017,1605,21.0
Montana,Diabetes,2017,292,21.6
Nebraska,Diabetes,2017,575,25.0
Nevada,Diabetes,2017,609,18.3
New Hampshire,Diabetes,2017,340,19.2
New Jersey,Diabetes,2017,1908,16.9
New Mexico,Diabetes,2017,673,26.5
New York,Diabetes,2017,4176,16.8
North Carolina,Diabetes,2017,2903,23.6
North Dakota,Diabetes,2017,194,21.8
Ohio,Diabetes,2017,3740,25.2
Oklahoma,Diabetes,2017,1398,30.6
Oregon,Diabetes,2017,1243,23.9
Pennsylvania,Diabetes,2017,3704,21.1
Rhode Island,Diabetes,2017,275,18.8
South Carolina,Diabetes,2017,1535,24.5
South Dakota,Diabetes,2017,263,24.9
Tennessee,Diabetes,2017,1915,24.0
Texas,Diabetes,2017,5832,21.2
Utah,Diabetes,2017,596,22.9
Vermont,Diabetes,2017,163,19.2
Virginia,Diabetes,2017,1967,20.1
Washington,Diabetes,2017,1812,21.6
West Virginia,Diabetes,2017,864,34.0
Wisconsin,Diabetes,2017,1433,19.4
Wyoming,Diabetes,2017,121,18.1
United States,Heart disease,2017,647457,165.0
Alabama,Heart disease,2017,13110,223.2
Alaska,Heart disease,2017,814,135.0
Arizona,Heart disease,2017,12398,141.9
Arkansas,Heart disease,2017,8270,223.8
California,Heart disease,2017,62797,142.9
Colorado,Heart disease,2017,7060,122.7
Connecticut,Heart disease,2017,7138,141.6
Delaware,Heart disease,2017,1990,158.4
District of Columbia,Heart disease,2017,1284,189.8
Florida,Heart disease,2017,46440,145.8
Georgia,Heart disease,2017,18389,175.8
Hawaii,Heart disease,2017,2575,129.8
Idaho,Heart disease,2017,3084,162.5
Illinois,Heart disease,2017,25394,163.3
Indiana,Heart disease,2017,14445,183.2
Iowa,Heart disease,2017,7180,167.4
Kansas,Heart disease,2017,5723,158.0
Kentucky,Heart disease,2017,10343,195.9
Louisiana,Heart disease,2017,11260,214.4
Maine,Heart disease,2017,2844,143.5
Maryland,Heart disease,2017,11653,164.5
Massachusetts,Heart disease,2017,12140,134.7
Michigan,Heart disease,2017,25187,196.1
Minnesota,Heart disease,2017,8230,119.1
Mississippi,Heart disease,2017,7944,231.6
Missouri,Heart disease,2017,14820,191.1
Montana,Heart disease,2017,2164,155.0
Nebraska,Heart disease,2017,3581,149.3
Nevada,Heart disease,2017,6417,199.3
New Hampshire,Heart disease,2017,2721,149.7
New Jersey,Heart disease,2017,18840,162.3
New Mexico,Heart disease,2017,3896,151.4
New York,Heart disease,2017,44092,171.2
North Carolina,Heart disease,2017,18808,156.5
North Dakota,Heart disease,2017,1326,137.8
Ohio,Heart disease,2017,28008,186.2
Oklahoma,Heart disease,2017,10772,237.2
Oregon,Heart disease,2017,6942,134.0
Pennsylvania,Heart disease,2017,32312,176.0
Rhode Island,Heart disease,2017,2339,155.7
South Carolina,Heart disease,2017,10418,172.0
South Dakota,Heart disease,2017,1710,150.1
Tennessee,Heart disease,2017,16019,202.2
Texas,Heart disease,2017,45346,169.2
Utah,Heart disease,2017,3749,150.2
Vermont,Heart disease,2017,1332,152.5
Virginia,Heart disease,2017,14861,154.5
Washington,Heart disease,2017,11582,138.8
West Virginia,Heart disease,2017,4849,192.0
Wisconsin,Heart disease,2017,11860,157.6
Wyoming,Heart disease,2017,1001,148.9
United States,Influenza and pneumonia,2017,55672,14.3
Alabama,Influenza and pneumonia,2017,1176,20.2
Alaska,Influenza and pneumonia,2017,66,11.7
Arizona,Influenza and pneumonia,2017,876,10.1
Arkansas,Influenza and pneumonia,2017,720,19.8
California,Influenza and pneumonia,2017,6340,14.6
Colorado,Influenza and pneumonia,2017,577,10.1
Connecticut,Influenza and pneumonia,2017,675,13.1
Delaware,Influenza and pneumonia,2017,184,14.9
District of Columbia,Influenza and pneumonia,2017,79,11.4
Florida,Influenza and pneumonia,2017,3057,9.6
Georgia,Influenza and pneumonia,2017,1400,13.8
Hawaii,Influenza and pneumonia,2017,637,29.6
Idaho,Influenza and pneumonia,2017,255,13.7
Illinois,Influenza and pneumonia,2017,2402,15.6
Indiana,Influenza and pneumonia,2017,1078,13.8
Iowa,Influenza and pneumonia,2017,578,13.2
Kansas,Influenza and pneumonia,2017,546,15.0
Kentucky,Influenza and pneumonia,2017,932,18.1
Louisiana,Influenza and pneumonia,2017,785,15.1
Maine,Influenza and pneumonia,2017,301,15.2
Maryland,Influenza and pneumonia,2017,990,14.0
Massachusetts,Influenza and pneumonia,2017,1433,15.9
Michigan,Influenza and pneumonia,2017,1798,14.2
Minnesota,Influenza and pneumonia,2017,697,9.9
Mississippi,Influenza and pneumonia,2017,782,23.0
Missouri,Influenza and pneumonia,2017,1281,16.7
Montana,Influenza and pneumonia,2017,185,13.3
Nebraska,Influenza and pneumonia,2017,393,16.2
Nevada,Influenza and pneumonia,2017,636,19.6
New Hampshire,Influenza and pneumonia,2017,230,13.1
New Jersey,Influenza and pneumonia,2017,1337,11.7
New Mexico,Influenza and pneumonia,2017,338,13.6
New York,Influenza and pneumonia,2017,4517,17.7
North Carolina,Influenza and pneumonia,2017,2076,17.5
North Dakota,Influenza and pneumonia,2017,147,15.3
Ohio,Influenza and pneumonia,2017,2243,14.9
Oklahoma,Influenza and pneumonia,2017,625,13.9
Oregon,Influenza and pneumonia,2017,573,11.1
Pennsylvania,Influenza and pneumonia,2017,2718,14.6
Rhode Island,Influenza and pneumonia,2017,206,13.9
South Carolina,Influenza and pneumonia,2017,723,12.3
South Dakota,Influenza and pneumonia,2017,217,19.0
Tennessee,Influenza and pneumonia,2017,1656,21.3
Texas,Influenza and pneumonia,2017,2954,11.2
Utah,Influenza and pneumonia,2017,334,13.3
Vermont,Influenza and pneumonia,2017,86,9.7
Virginia,Influenza and pneumonia,2017,1245,13.1
Washington,Influenza and pneumonia,2017,1041,12.6
West Virginia,Influenza and pneumonia,2017,458,18.2
Wisconsin,Influenza and pneumonia,2017,974,12.9
Wyoming,Influenza and pneumonia,2017,115,17.5
United States,Suicide,2017,47173,14.0
Alabama,Suicide,2017,836,16.6
Alaska,Suicide,2017,200,27.0
Arizona,Suicide,2017,1327,18.2
Arkansas,Suicide,2017,631,20.8
California,Suicide,2017,4312,10.5
Colorado,Suicide,2017,1181,20.3
Connecticut,Suicide,2017,405,10.5
Delaware,Suicide,2017,112,11.6
District of Columbia,Suicide,2017,47,6.6
Florida,Suicide,2017,3227,14.0
Georgia,Suicide,2017,1451,13.6
Hawaii,Suicide,2017,227,15.2
Idaho,Suicide,2017,392,23.2
Illinois,Suicide,2017,1474,11.2
Indiana,Suicide,2017,1092,16.3
Iowa,Suicide,2017,479,15.0
Kansas,Suicide,2017,553,19.1
Kentucky,Suicide,2017,770,16.9
Louisiana,Suicide,2017,720,15.2
Maine,Suicide,2017,274,18.9
Maryland,Suicide,2017,630,9.9
Massachusetts,Suicide,2017,682,9.5
Michigan,Suicide,2017,1457,14.1
Minnesota,Suicide,2017,783,13.9
Mississippi,Suicide,2017,445,15.0
Missouri,Suicide,2017,1151,18.5
Montana,Suicide,2017,311,28.9
Nebraska,Suicide,2017,275,14.7
Nevada,Suicide,2017,627,20.3
New Hampshire,Suicide,2017,265,18.9
New Jersey,Suicide,2017,795,8.3
New Mexico,Suicide,2017,491,23.3
New York,Suicide,2017,1696,8.1
North Carolina,Suicide,2017,1521,14.3
North Dakota,Suicide,2017,154,20.1
Ohio,Suicide,2017,1740,14.8
Oklahoma,Suicide,2017,756,19.1
Pennsylvania,All causes,2007,125104,793.2
Oregon,Suicide,2017,825,19.0
Pennsylvania,Suicide,2017,2030,15.0
Rhode Island,Suicide,2017,129,11.8
South Carolina,Suicide,2017,838,16.3
South Dakota,Suicide,2017,191,22.5
Tennessee,Suicide,2017,1166,16.8
Texas,Suicide,2017,3778,13.4
Utah,Suicide,2017,663,22.7
Vermont,Suicide,2017,112,18.3
Virginia,Suicide,2017,1179,13.4
Washington,Suicide,2017,1297,16.9
West Virginia,Suicide,2017,393,21.1
Wisconsin,Suicide,2017,926,15.4
Wyoming,Suicide,2017,157,26.9
United States,Cancer,2017,599108,152.5
Alabama,Cancer,2017,10410,170.0
Alaska,Cancer,2017,926,139.2
Arizona,Cancer,2017,12008,135.8
Arkansas,Cancer,2017,6517,173.6
California,Cancer,2017,59516,136.8
Colorado,Cancer,2017,7829,131.0
Connecticut,Cancer,2017,6608,139.6
Delaware,Cancer,2017,2085,160.4
District of Columbia,Cancer,2017,1031,152.8
Florida,Cancer,2017,45131,145.9
Georgia,Cancer,2017,17135,154.9
Hawaii,Cancer,2017,2456,128.6
Idaho,Cancer,2017,3020,153.2
Illinois,Cancer,2017,24150,157.9
Indiana,Cancer,2017,13462,170.0
Iowa,Cancer,2017,6449,158.0
Kansas,Cancer,2017,5494,157.2
Kentucky,Cancer,2017,10145,185.7
Louisiana,Cancer,2017,9513,174.9
Maine,Cancer,2017,3391,170.8
Maryland,Cancer,2017,10796,151.5
Massachusetts,Cancer,2017,12934,149.3
Michigan,Cancer,2017,20671,161.3
Minnesota,Cancer,2017,9896,146.8
Mississippi,Cancer,2017,6526,183.1
Missouri,Cancer,2017,12971,167.3
Montana,Cancer,2017,2145,152.6
Nebraska,Cancer,2017,3502,152.6
Nevada,Cancer,2017,5283,155.3
New Hampshire,Cancer,2017,2760,153.5
New Jersey,Cancer,2017,16264,144.6
New Mexico,Cancer,2017,3620,138.3
New York,Cancer,2017,34956,141.2
North Carolina,Cancer,2017,19474,157.1
North Dakota,Cancer,2017,1280,142.6
Ohio,Cancer,2017,25643,171.2
Oklahoma,Cancer,2017,8203,177.3
Oregon,Cancer,2017,8083,154.2
Pennsylvania,Cancer,2017,28387,161.0
Rhode Island,Cancer,2017,2154,154.2
South Carolina,Cancer,2017,10356,162.7
South Dakota,Cancer,2017,1715,156.9
Tennessee,Cancer,2017,14302,173.4
Texas,Cancer,2017,40668,146.5
Utah,Cancer,2017,3161,120.3
Vermont,Cancer,2017,1434,164.5
Virginia,Cancer,2017,15064,152.6
Washington,Cancer,2017,12664,148.4
West Virginia,Cancer,2017,4654,179.4
Wisconsin,Cancer,2017,11318,153.2
Wyoming,Cancer,2017,948,136.1
United States,Kidney disease,2017,50633,13.0
Alabama,Kidney disease,2017,980,16.5
Alaska,Kidney disease,2017,54,9.9
Arizona,Kidney disease,2017,540,6.2
Arkansas,Kidney disease,2017,725,19.7
California,Kidney disease,2017,3887,8.9
Colorado,Kidney disease,2017,503,8.9
Connecticut,Kidney disease,2017,554,11.2
Delaware,Kidney disease,2017,205,16.1
District of Columbia,Kidney disease,2017,67,10.0
Florida,Kidney disease,2017,3172,10.1
Georgia,Kidney disease,2017,1942,18.6
Hawaii,Kidney disease,2017,208,10.7
Idaho,Kidney disease,2017,170,9.0
Illinois,Kidney disease,2017,2565,16.8
Indiana,Kidney disease,2017,1440,18.5
Iowa,Kidney disease,2017,367,8.8
Kansas,Kidney disease,2017,541,15.0
Kentucky,Kidney disease,2017,1024,19.4
Louisiana,Kidney disease,2017,1076,20.6
Maine,Kidney disease,2017,260,13.0
Maryland,Kidney disease,2017,830,11.9
Massachusetts,Kidney disease,2017,1193,13.4
Michigan,Kidney disease,2017,1874,14.7
Minnesota,Kidney disease,2017,537,7.7
Mississippi,Kidney disease,2017,741,21.7
Missouri,Kidney disease,2017,1515,19.6
Montana,Kidney disease,2017,129,9.2
Nebraska,Kidney disease,2017,226,9.5
Nevada,Kidney disease,2017,299,9.0
New Hampshire,Kidney disease,2017,169,9.4
New Jersey,Kidney disease,2017,1591,13.9
New Mexico,Kidney disease,2017,330,12.9
New York,Kidney disease,2017,2296,9.1
North Carolina,Kidney disease,2017,2040,17.1
North Dakota,Kidney disease,2017,122,12.9
Ohio,Kidney disease,2017,2237,15.0
Oklahoma,Kidney disease,2017,461,10.2
Oregon,Kidney disease,2017,377,7.3
Pennsylvania,Kidney disease,2017,2898,15.9
Rhode Island,Kidney disease,2017,176,11.6
South Carolina,Kidney disease,2017,950,15.5
South Dakota,Kidney disease,2017,75,6.8
Tennessee,Kidney disease,2017,1140,14.4
Texas,Kidney disease,2017,4256,16.0
Utah,Kidney disease,2017,384,15.4
Vermont,Kidney disease,2017,29,3.3
Virginia,Kidney disease,2017,1618,16.9
Washington,Kidney disease,2017,439,5.3
West Virginia,Kidney disease,2017,436,17.1
Wisconsin,Kidney disease,2017,922,12.5
Wyoming,Kidney disease,2017,63,9.5
Alabama,Unintentional injuries,2016,2755,55.5
Alaska,Unintentional injuries,2016,439,63.1
Arizona,Unintentional injuries,2016,4010,54.2
Arkansas,Unintentional injuries,2016,1604,51.8
California,Unintentional injuries,2016,13213,32.0
Colorado,Unintentional injuries,2016,2880,51.2
Connecticut,Unintentional injuries,2016,1978,50.3
Delaware,Unintentional injuries,2016,516,52.4
District of Columbia,Unintentional injuries,2016,401,58.3
Florida,Unintentional injuries,2016,12561,54.9
Georgia,Unintentional injuries,2016,4701,45.8
Hawaii,Unintentional injuries,2016,577,35.3
Idaho,Unintentional injuries,2016,849,49.5
Illinois,Unintentional injuries,2016,5508,41.0
Indiana,Unintentional injuries,2016,3496,51.6
Iowa,Unintentional injuries,2016,1608,45.8
Kansas,Unintentional injuries,2016,1444,45.7
Kentucky,Unintentional injuries,2016,3194,71.0
Louisiana,Unintentional injuries,2016,2710,57.4
Maine,Unintentional injuries,2016,909,62.4
Maryland,Unintentional injuries,2016,2271,35.7
Massachusetts,Unintentional injuries,2016,3831,52.8
Michigan,Unintentional injuries,2016,5313,50.5
Minnesota,Unintentional injuries,2016,2697,43.8
Mississippi,Unintentional injuries,2016,1803,59.2
Missouri,Unintentional injuries,2016,3625,57.0
Montana,Unintentional injuries,2016,626,54.1
Nebraska,Unintentional injuries,2016,772,37.0
Nevada,Unintentional injuries,2016,1395,46.0
New Hampshire,Unintentional injuries,2016,924,66.6
New Jersey,Unintentional injuries,2016,3839,40.8
New Mexico,Unintentional injuries,2016,1487,69.5
New York,Unintentional injuries,2016,7354,34.2
North Carolina,Unintentional injuries,2016,5476,52.2
North Dakota,Unintentional injuries,2016,371,45.4
Ohio,Unintentional injuries,2016,7999,66.6
Oklahoma,Unintentional injuries,2016,2592,64.1
Oregon,Unintentional injuries,2016,2105,46.0
Pennsylvania,Unintentional injuries,2016,8410,61.8
Rhode Island,Unintentional injuries,2016,675,56.6
South Carolina,Unintentional injuries,2016,3012,58.9
South Dakota,Unintentional injuries,2016,505,53.4
Tennessee,Unintentional injuries,2016,4238,61.1
Texas,Unintentional injuries,2016,10536,38.6
Utah,Unintentional injuries,2016,1211,43.8
Vermont,Unintentional injuries,2016,372,54.8
Virginia,Unintentional injuries,2016,3710,42.4
Washington,Unintentional injuries,2016,3221,41.4
West Virginia,Unintentional injuries,2016,1705,89.7
Wisconsin,Unintentional injuries,2016,3575,55.6
Wyoming,Unintentional injuries,2016,371,61.9
United States,Unintentional injuries,2016,161374,47.4
Alabama,All causes,2016,52466,920.4
Alaska,All causes,2016,4494,745.6
Arizona,All causes,2016,56645,675.8
Arkansas,All causes,2016,31756,893.2
California,All causes,2016,262240,616.9
Colorado,All causes,2016,37530,669.5
Connecticut,All causes,2016,30543,654.0
Delaware,All causes,2016,8874,746.2
District of Columbia,All causes,2016,5037,766.0
Florida,All causes,2016,197313,666.6
Georgia,All causes,2016,81428,800.4
Hawaii,All causes,2016,10913,572.0
Idaho,All causes,2016,13366,725.0
Illinois,All causes,2016,107020,724.3
